,City,Style,Name
0,amsterdam,afghani,6
1,amsterdam,african,47
2,amsterdam,american,272
3,amsterdam,arabic,10
4,amsterdam,argentinean,129
5,amsterdam,asian,691
6,amsterdam,australian,10
7,amsterdam,austrian,2
8,amsterdam,balti,10
9,amsterdam,bar,998
10,amsterdam,barbecue,151
11,amsterdam,belgian,20
12,amsterdam,brazilian,19
13,amsterdam,brew pub,8
14,amsterdam,british,32
15,amsterdam,cafe,614
16,amsterdam,cajun & creole,4
17,amsterdam,caribbean,21
18,amsterdam,central american,14
19,amsterdam,central asian,2
20,amsterdam,central european,80
21,amsterdam,chinese,188
22,amsterdam,colombian,4
23,amsterdam,contemporary,80
24,amsterdam,cuban,2
25,amsterdam,danish,1
26,amsterdam,delicatessen,53
27,amsterdam,diner,49
28,amsterdam,dutch,1538
29,amsterdam,eastern european,4
30,amsterdam,ecuadorean,2
31,amsterdam,egyptian,4
32,amsterdam,ethiopian,27
33,amsterdam,european,2669
34,amsterdam,fast food,225
35,amsterdam,french,398
36,amsterdam,fusion,78
37,amsterdam,gastropub,22
38,amsterdam,georgian,2
39,amsterdam,german,13
40,amsterdam,gluten free options,212
41,amsterdam,greek,56
42,amsterdam,grill,137
43,amsterdam,halal,50
44,amsterdam,hawaiian,5
45,amsterdam,healthy,135
46,amsterdam,indian,131
47,amsterdam,indonesian,135
48,amsterdam,international,600
49,amsterdam,irish,14
50,amsterdam,israeli,12
51,amsterdam,italian,719
52,amsterdam,jamaican,5
53,amsterdam,japanese,225
54,amsterdam,korean,16
55,amsterdam,kosher,8
56,amsterdam,latin,58
57,amsterdam,lebanese,32
58,amsterdam,malaysian,4
59,amsterdam,mediterranean,658
60,amsterdam,mexican,80
61,amsterdam,middle eastern,141
62,amsterdam,minority chinese,2
63,amsterdam,moroccan,36
64,amsterdam,nepali,20
65,amsterdam,new zealand,8
66,amsterdam,norwegian,2
67,amsterdam,pakistani,14
68,amsterdam,persian,10
69,amsterdam,peruvian,8
70,amsterdam,pizza,370
71,amsterdam,portuguese,16
72,amsterdam,pub,430
73,amsterdam,romanian,2
74,amsterdam,russian,2
75,amsterdam,scandinavian,6
76,amsterdam,seafood,238
77,amsterdam,singaporean,4
78,amsterdam,soups,71
79,amsterdam,south american,83
80,amsterdam,southwestern,10
81,amsterdam,spanish,141
82,amsterdam,steakhouse,231
83,amsterdam,street food,27
84,amsterdam,sushi,169
85,amsterdam,swedish,6
86,amsterdam,swiss,12
87,amsterdam,taiwanese,2
88,amsterdam,thai,133
89,amsterdam,tibetan,12
90,amsterdam,tunisian,2
91,amsterdam,turkish,114
92,amsterdam,vegan options,468
93,amsterdam,vegetarian friendly,1808
94,amsterdam,vietnamese,43
95,amsterdam,wine bar,40
96,barcelona,african,15
97,barcelona,albanian,1
98,barcelona,american,321
99,barcelona,arabic,8
100,barcelona,argentinean,153
101,barcelona,asian,692
102,barcelona,australian,4
103,barcelona,austrian,3
104,barcelona,bar,1011
105,barcelona,barbecue,173
106,barcelona,belgian,12
107,barcelona,brazilian,38
108,barcelona,brew pub,72
109,barcelona,british,18
110,barcelona,cafe,598
111,barcelona,cajun & creole,2
112,barcelona,cambodian,4
113,barcelona,caribbean,36
114,barcelona,central american,58
115,barcelona,central asian,4
116,barcelona,central european,19
117,barcelona,chilean,16
118,barcelona,chinese,235
119,barcelona,colombian,24
120,barcelona,contemporary,179
121,barcelona,croatian,2
122,barcelona,cuban,10
123,barcelona,delicatessen,141
124,barcelona,diner,39
125,barcelona,dutch,4
126,barcelona,eastern european,10
127,barcelona,egyptian,2
128,barcelona,ethiopian,4
129,barcelona,european,3259
130,barcelona,fast food,499
131,barcelona,filipino,13
132,barcelona,french,118
133,barcelona,fusion,337
134,barcelona,gastropub,83
135,barcelona,georgian,1
136,barcelona,german,28
137,barcelona,gluten free options,318
138,barcelona,greek,28
139,barcelona,grill,81
140,barcelona,halal,40
141,barcelona,hawaiian,8
142,barcelona,healthy,287
143,barcelona,hungarian,4
144,barcelona,indian,133
145,barcelona,indonesian,12
146,barcelona,international,436
147,barcelona,irish,22
148,barcelona,israeli,10
149,barcelona,italian,984
150,barcelona,jamaican,2
151,barcelona,japanese,592
152,barcelona,korean,35
153,barcelona,latin,255
154,barcelona,lebanese,90
155,barcelona,malaysian,4
156,barcelona,mediterranean,5493
157,barcelona,mexican,224
158,barcelona,middle eastern,166
159,barcelona,minority chinese,6
160,barcelona,moroccan,30
161,barcelona,nepali,14
162,barcelona,pakistani,32
163,barcelona,persian,4
164,barcelona,peruvian,88
165,barcelona,pizza,653
166,barcelona,polish,3
167,barcelona,portuguese,10
168,barcelona,pub,361
